weight,age,height,size
49,25,165.1,2
62,30,167.64,8
74,31,162.56,14
56,52,157.48,6
69,37,167.64,12
74,37,170.18,18
58,35,160.02,18
55,24,175.26,6
62,42,162.56,6
65,30,167.64,8
65,30,165.1,18
57,20,170.18,8
56,48,165.1,6
58,31,170.18,8
61,32,170.18,8
61,36,175.26,12
52,42,162.56,6
58,33,165.1,8
74,36,175.26,18
56,25,167.64,6
63,51,162.56,12
52,26,157.48,8
63,27,165.1,14
65,29,167.64,12
61,34,165.1,8
52,55,157.48,8
78,37,175.26,14
52,27,162.56,6
68,33,160.02,14
56,47,160.02,8
65,29,172.72,12
64,17,162.56,14
77,48,167.64,18
56,32,162.56,6
50,31,162.56,2
63,39,157.48,12
65,28,172.72,14
56,43,170.18,2
49,44,154.94,6
63,35,170.18,14
57,35,162.56,8
56,20,167.64,8
56,26,167.64,8
54,28,167.64,8
64,27,165.1,8
90,39,167.64,18
68,37,165.1,14
56,38,167.64,6
54,46,162.56,12
56,28,160.02,6
63,27,172.72,12
61,45,172.72,8
47,26,157.48,2
49,26,162.56,6
61,29,165.1,18
58,29,165.1,12
48,34,165.1,2
56,29,170.18,6
104,34,162.56,18
58,32,165.1,8
54,28,170.18,8
54,47,165.1,8
62,33,170.18,8
65,28,165.1,18
54,49,154.94,8
55,33,162.56,8
63,25,162.56,14
58,28,167.64,8
48,26,154.94,6
52,29,157.48,6
61,34,170.18,18
54,27,165.1,6
54,35,157.48,6
63,37,165.1,12
56,45,160.02,8
61,32,154.94,8
68,38,172.72,14
63,50,177.8,12
71,23,162.56,18
72,43,170.18,18
63,39,175.26,14
79,31,165.1,18
58,41,162.56,14
55,29,172.72,12
86,29,175.26,18
72,36,172.72,18
54,34,167.64,6
55,28,167.64,6
52,31,162.56,6
65,38,165.1,14
72,39,160.02,18
70,33,170.18,12
58,32,160.02,8
65,32,167.64,18
49,41,154.94,2
49,40,154.94,18
65,29,162.56,12
48,34,160.02,6
88,28,172.72,18
54,22,162.56,6
60,26,157.48,8
53,40,162.56,8
53,30,167.64,6
53,30,170.18,6
56,50,160.02,14
61,26,162.56,8
83,29,154.94,18
52,40,157.48,6
70,39,160.02,18
49,37,167.64,6
54,44,165.1,8
61,25,165.1,12
56,40,160.02,12
63,34,160.02,8
95,28,167.64,18
65,29,160.02,8
56,35,167.64,6
58,30,172.72,6
53,38,157.48,6
61,20,165.1,8
47,36,160.02,6
61,41,167.64,8
63,38,165.1,14
70,37,172.72,12
69,25,160.02,18
55,23,172.72,6
52,33,165.1,2
65,35,160.02,14
72,36,165.1,18
63,55,167.64,18
68,36,172.72,18
54,33,175.26,14
68,26,162.56,12
56,32,157.48,14
61,31,157.48,12
51,25,162.56,2
51,35,160.02,2
61,26,157.48,12
56,50,157.48,8
72,46,157.48,18
70,28,162.56,12
63,37,160.02,14
53,35,160.02,6
92,23,182.88,18
74,33,162.56,18
78,38,172.72,18
63,31,172.72,12
54,23,154.94,8
53,39,162.56,6
54,35,157.48,8
49,43,172.72,6
55,29,157.48,8
58,49,167.64,8
72,29,170.18,18
63,46,170.18,12
56,29,162.56,6
52,31,162.56,8
47,34,149.86,2
63,60,167.64,18
79,33,177.8,18
70,24,165.1,14
65,37,157.48,14
52,35,167.64,6
52,37,162.56,2
58,35,165.1,8
52,31,157.48,6
61,30,154.94,14
56,30,165.1,6
55,27,170.18,8
52,31,165.1,2
54,31,172.72,12
60,28,170.18,8
49,37,170.18,6
61,40,167.64,12
68,32,170.18,18
61,25,162.56,14
61,29,165.1,8
58,31,157.48,12
65,30,170.18,12
51,29,162.56,6
58,33,152.4,12
61,37,185.42,12
95,29,170.18,18
77,31,172.72,18
56,30,167.64,6
49,36,157.48,2
60,41,162.56,14
65,25,180.34,18
54,29,154.94,8
59,53,157.48,14
52,29,162.56,6
49,26,170.18,6
81,30,172.72,18
52,31,162.56,6
56,37,170.18,8
58,34,157.48,6
65,36,180.34,6
83,22,167.64,14
72,30,162.56,18
58,37,157.48,14
68,29,175.26,14
54,29,160.02,6
83,35,167.64,18
73,45,154.94,14
72,39,172.72,14
58,38,157.48,14
58,33,167.64,12
84,30,177.8,18
58,37,167.64,12
61,27,177.8,8
58,31,162.56,2
61,28,170.18,8
53,36,165.1,6
56,35,165.1,8
57,29,162.56,8
66,34,175.26,12
51,38,157.48,6
76,28,175.26,14
86,33,167.64,18
67,33,170.18,14
53,29,175.26,2
68,36,162.56,14
64,61,162.56,18
65,26,170.18,14
52,26,167.64,2
63,29,167.64,8
58,35,157.48,12
58,45,167.64,8
65,33,160.02,12
58,32,162.56,6
70,21,175.26,12
63,27,162.56,12
70,27,167.64,14
61,32,170.18,14
61,26,162.56,6
56,31,160.02,8
49,31,172.72,2
61,31,157.48,18
44,33,152.4,2
60,25,165.1,12
56,28,157.48,8
64,58,165.1,8
48,35,157.48,6
54,26,160.02,6
54,36,167.64,6
57,26,167.64,8
77,51,170.18,18
56,32,175.26,6
62,32,167.64,8
61,29,162.56,8
65,30,170.18,12
54,30,157.48,6
59,26,162.56,12
64,28,172.72,8
57,31,172.72,8
61,34,165.1,12
56,28,157.48,6
64,32,167.64,14
49,38,162.56,2
61,26,157.48,8
81,31,167.64,18
54,35,157.48,8
61,32,167.64,14
61,28,162.56,8
65,37,160.02,18
58,30,165.1,8
74,30,162.56,18
55,31,167.64,6
54,32,177.8,6
49,38,160.02,6
58,27,162.56,8
58,35,160.02,12
48,46,160.02,6
52,25,167.64,18
74,22,177.8,14
61,38,172.72,12
72,34,162.56,6
63,32,172.72,8
56,22,162.56,6
70,39,165.1,14
58,38,170.18,8
56,57,170.18,8
56,36,170.18,8
54,25,165.1,6
77,51,165.1,18
77,35,160.02,18
61,37,170.18,12
49,22,152.4,6
54,45,162.56,8
53,19,160.02,6
56,38,172.72,6
61,25,165.1,14
56,29,170.18,6
65,34,165.1,12
58,22,165.1,6
65,36,157.48,18
63,40,162.56,12
57,39,167.64,6
68,36,175.26,18
61,30,162.56,12
56,31,157.48,8
58,30,157.48,8
54,42,170.18,8
58,27,160.02,8
77,37,170.18,18
99,44,175.26,18
58,33,165.1,6
61,30,177.8,14
72,24,172.72,12
47,31,152.4,2
86,29,167.64,18
74,40,167.64,18
72,38,175.26,18
74,40,175.26,18
65,30,175.26,14
49,33,170.18,2
58,37,177.8,8
53,30,160.02,6
54,25,165.1,8
83,29,182.88,18
74,32,165.1,18
63,27,165.1,18
65,28,157.48,14
45,30,162.56,6
56,35,162.56,8
65,42,167.64,14
49,31,157.48,6
58,36,162.56,8
90,47,160.02,18
56,28,170.18,6
57,40,160.02,8
65,24,170.18,8
58,31,167.64,12
58,32,167.64,6
61,43,157.48,14
56,29,160.02,6
47,35,154.94,2
48,40,157.48,6
63,28,172.72,8
70,29,167.64,14
54,47,162.56,8
77,51,157.48,18
54,31,154.94,6
54,29,165.1,2
58,23,154.94,8
62,34,170.18,12
64,31,157.48,18
58,28,170.18,8
45,25,170.18,2
48,35,157.48,2
55,28,160.02,12
54,29,154.94,6
61,36,162.56,14
90,33,172.72,12
57,27,170.18,12
56,39,165.1,6
102,27,170.18,18
70,58,170.18,18
68,28,177.8,14
61,46,165.1,8
65,38,162.56,12
58,27,157.48,8
70,28,162.56,18
79,29,157.48,18
68,34,162.56,12
49,24,167.64,6
58,36,157.48,14
68,32,180.34,14
58,33,162.56,12
78,33,177.8,14
55,24,170.18,8
59,34,162.56,8
56,21,160.02,6
60,26,157.48,6
58,30,157.48,12
58,30,175.26,6
77,41,167.64,18
63,32,170.18,12
56,33,162.56,8
65,26,160.02,8
57,26,162.56,8
43,34,147.32,2
56,26,154.94,6
53,53,160.02,8
64,37,167.64,12
90,32,165.1,18
61,25,160.02,8
72,58,157.48,18
81,31,167.64,18
54,25,160.02,8
92,38,157.48,18
48,38,167.64,2
70,36,165.1,14
52,32,152.4,2
52,33,157.48,8
56,37,175.26,8
74,31,160.02,18
56,31,162.56,6
61,43,165.1,18
58,38,167.64,8
54,23,162.56,2
56,31,157.48,6
56,26,165.1,14
63,35,170.18,12
57,30,162.56,6
61,27,177.8,6
61,31,172.72,8
63,52,165.1,14
63,35,160.02,14
40,19,160.02,2
70,48,175.26,18
70,33,167.64,18
68,30,170.18,18
63,30,165.1,12
46,36,149.86,2
56,38,170.18,6
61,48,170.18,14
61,30,170.18,14
54,47,162.56,2
65,28,165.1,14
58,30,165.1,6
65,29,172.72,12
58,29,165.1,12
65,29,165.1,8
55,29,160.02,6
68,31,165.1,14
70,31,177.8,14
63,28,167.64,12
56,29,172.72,8
60,37,167.64,6
52,28,162.56,6
61,33,165.1,8
45,29,147.32,2
79,36,175.26,18
72,23,185.42,14
47,40,152.4,6
68,26,177.8,8
61,31,162.56,14
58,23,172.72,6
64,29,167.64,12
63,37,170.18,14
55,29,154.94,8
58,37,170.18,8
58,30,160.02,8
61,30,170.18,8
58,39,157.48,14
86,37,167.64,18
55,33,167.64,8
54,47,160.02,12
52,35,167.64,6
58,30,165.1,8
68,27,167.64,14
53,37,157.48,6
61,30,165.1,14
79,33,175.26,18
57,37,160.02,8
67,26,170.18,8
56,32,165.1,6
58,32,152.4,14
72,32,167.64,18
68,31,172.72,8
70,41,170.18,18
70,32,170.18,18
68,30,157.48,14
54,25,162.56,8
54,38,172.72,8
54,27,175.26,2
56,22,165.1,12
52,25,160.02,2
57,34,162.56,14
54,29,167.64,14
53,32,170.18,8
63,28,160.02,8
71,28,172.72,14
74,23,180.34,12
77,36,175.26,18
61,30,175.26,8
52,44,167.64,6
65,53,177.8,14
65,47,170.18,14
61,34,175.26,8
58,31,170.18,8
72,28,160.02,18
56,35,165.1,8
65,27,167.64,8
95,33,165.1,18
79,39,167.64,18
58,31,167.64,18
54,20,177.8,6
55,40,165.1,8
56,28,165.1,14
65,24,157.48,14
61,33,160.02,8
86,49,172.72,18
61,43,170.18,8
57,45,160.02,14
68,49,162.56,14
50,57,162.56,6
58,30,160.02,6
64,28,175.26,14
65,31,175.26,12
46,42,154.94,8
65,31,175.26,14
56,25,154.94,8
65,29,165.1,14
96,56,165.1,18
54,38,154.94,6
67,46,165.1,18
68,29,157.48,14
63,36,170.18,8
62,32,172.72,12
58,46,162.56,12
59,33,167.64,8
52,29,162.56,2
74,31,162.56,14
68,42,165.1,14
58,30,167.64,8
65,34,162.56,18
56,35,162.56,18
108,29,160.02,18
45,49,162.56,2
54,35,157.48,8
54,32,157.48,2
75,35,160.02,12
62,30,170.18,6
52,25,172.72,2
53,27,154.94,6
63,29,160.02,14
73,28,180.34,18
52,37,152.4,6
72,28,160.02,14
56,26,167.64,8
56,27,160.02,6
53,34,162.56,8
61,34,157.48,12
86,39,170.18,18
56,55,167.64,8
77,31,170.18,14
61,30,160.02,8
62,34,167.64,12
58,32,167.64,8
63,26,170.18,14
47,30,160.02,2
45,29,160.02,2
68,31,170.18,14
83,36,165.1,18
49,33,152.4,6
63,44,167.64,14
54,51,162.56,2
97,34,167.64,18
63,29,172.72,8
56,35,167.64,8
55,38,170.18,8
52,33,157.48,8
72,35,167.64,18
61,30,170.18,6
63,34,157.48,14
56,31,160.02,8
56,32,160.02,8
43,19,160.02,2
72,32,177.8,14
58,28,167.64,12
64,32,172.72,14
68,28,172.72,12
61,42,165.1,8
58,32,162.56,6
70,31,165.1,14
58,26,157.48,8
68,31,167.64,18
72,36,167.64,14
56,24,165.1,14
52,28,170.18,6
60,37,160.02,12
54,22,165.1,6
72,30,162.56,14
65,30,165.1,12
50,31,154.94,6
74,27,154.94,8
83,35,170.18,18
71,42,170.18,18
60,62,157.48,12
63,29,157.48,12
58,46,175.26,8
86,32,170.18,18
54,23,157.48,8
70,29,162.56,18
49,24,160.02,6
70,36,175.26,18
51,29,157.48,6
65,33,167.64,12
52,38,152.4,6
63,33,160.02,18
54,32,147.32,12
77,46,167.64,18
74,32,162.56,18
64,40,162.56,14
54,33,167.64,8
58,30,160.02,12
58,27,167.64,6
54,37,157.48,6
55,34,167.64,6
65,28,172.72,14
61,27,162.56,12
68,35,152.4,14
61,36,165.1,14
57,53,170.18,8
68,34,175.26,8
70,36,170.18,18
51,28,154.94,6
48,43,157.48,6
58,31,167.64,12
61,34,160.02,8
59,32,170.18,8
58,30,167.64,6
56,24,167.64,6
53,28,157.48,2
61,48,165.1,12
79,51,162.56,18
58,34,165.1,6
56,37,162.56,6
81,38,175.26,18
58,33,165.1,8
56,70,170.18,8
68,26,165.1,12
54,30,170.18,6
81,28,167.64,8
52,30,157.48,14
63,35,167.64,18
46,19,160.02,6
53,21,170.18,2
58,39,162.56,8
65,24,167.64,14
54,40,162.56,6
49,61,157.48,6
65,39,157.48,8
56,51,165.1,12
49,27,154.94,2
65,35,165.1,12
61,42,177.8,8
83,25,177.8,18
49,27,170.18,2
51,33,160.02,2
60,25,165.1,6
62,49,170.18,12
58,26,172.72,6
58,28,165.1,8
72,27,170.18,18
52,29,170.18,6
89,54,170.18,18
61,31,167.64,8
56,35,157.48,14
88,24,162.56,18
65,46,162.56,18
54,40,162.56,6
58,33,170.18,8
72,46,172.72,18
74,30,165.1,18
61,32,170.18,12
63,33,175.26,12
65,27,160.02,14
49,21,152.4,2
83,41,172.72,18
56,31,170.18,6
54,28,170.18,6
58,22,170.18,6
61,30,165.1,8
65,38,162.56,14
63,29,162.56,12
55,39,157.48,6
74,26,175.26,18
55,26,170.18,8
53,31,160.02,2
58,33,167.64,12
49,36,157.48,2
61,33,160.02,8
61,30,157.48,8
79,33,177.8,18
65,32,162.56,18
56,32,162.56,6
68,31,180.34,12
58,25,165.1,8
54,31,162.56,8
58,36,167.64,6
49,32,157.48,6
61,39,165.1,8
70,26,162.56,18
65,33,152.4,18
49,26,157.48,2
74,48,165.1,18
43,40,152.4,2
65,30,160.02,14
57,25,154.94,8
63,45,157.48,12
46,28,157.48,2
54,28,160.02,8
52,34,160.02,2
57,33,157.48,14
58,32,165.1,8
57,33,172.72,8
52,27,167.64,2
62,40,170.18,12
54,28,162.56,2
65,28,177.8,14
61,30,167.64,8
72,38,172.72,14
64,25,172.72,12
74,29,177.8,14
65,27,175.26,8
54,23,170.18,6
54,29,160.02,6
67,33,165.1,14
54,16,170.18,6
95,24,175.26,18
68,35,167.64,18
52,42,160.02,2
63,43,162.56,18
68,32,165.1,18
58,27,160.02,6
58,32,165.1,8
56,30,167.64,8
70,32,162.56,18
51,36,162.56,2
86,55,162.56,18
62,34,165.1,8
49,34,157.48,8
58,36,165.1,12
45,33,172.72,6
56,29,170.18,2
58,38,167.64,8
59,50,165.1,12
53,37,172.72,6
65,48,170.18,14
58,34,167.64,18
74,33,160.02,18
54,31,160.02,6
56,44,157.48,14
59,30,160.02,8
73,41,172.72,14
65,29,175.26,12
61,50,160.02,12
53,30,152.4,6
56,33,157.48,6
61,42,170.18,8
56,0,170.18,6
63,30,162.56,8
56,27,162.56,6
47,20,157.48,6
72,31,175.26,18
62,32,170.18,8
65,24,170.18,8
56,36,162.56,8
58,26,167.64,8
58,33,165.1,8
56,35,170.18,6
70,41,167.64,18
56,26,154.94,6
58,27,160.02,8
74,37,177.8,14
74,32,165.1,14
47,28,167.64,6
56,29,167.64,14
77,34,182.88,18
56,28,162.56,8
50,25,165.1,6
72,30,165.1,18
76,34,162.56,12
69,33,165.1,14
56,29,167.64,6
65,27,157.48,12
68,46,170.18,18
68,50,160.02,14
58,45,172.72,14
62,50,170.18,12
58,32,165.1,8
74,29,170.18,18
61,37,165.1,8
57,33,167.64,8
47,43,157.48,6
61,27,167.64,12
53,37,170.18,6
63,26,165.1,12
56,35,167.64,6
55,29,167.64,14
54,33,162.56,6
61,25,165.1,8
58,51,167.64,8
72,31,165.1,14
56,44,162.56,8
54,27,165.1,2
61,30,172.72,8
68,31,175.26,18
47,54,154.94,2
62,53,170.18,14
58,38,154.94,8
48,27,170.18,2
65,30,167.64,14
54,28,172.72,8
53,36,167.64,6
64,32,172.72,12
63,25,162.56,8
63,33,177.8,8
58,36,170.18,8
68,25,162.56,18
61,33,162.56,12
56,32,162.56,14
58,33,157.48,12
61,46,162.56,8
49,57,154.94,2
58,40,172.72,6
68,26,175.26,14
88,33,185.42,18
60,39,180.34,12
57,40,162.56,18
70,31,170.18,14
54,22,167.64,8
58,29,170.18,6
56,32,157.48,8
71,37,165.1,18
45,35,160.02,2
58,42,162.56,8
47,42,157.48,6
61,46,165.1,14
56,57,175.26,8
63,41,165.1,12
74,36,172.72,18
49,30,157.48,2
74,33,160.02,18
54,22,165.1,6
83,23,170.18,18
62,36,165.1,8
56,47,162.56,6
53,41,157.48,8
48,27,154.94,2
71,38,165.1,18
49,22,157.48,2
68,26,170.18,12
55,30,167.64,8
58,29,162.56,2
68,22,162.56,8
88,53,157.48,18
58,57,152.4,12
65,33,170.18,12
68,46,177.8,14
63,38,162.56,14
47,28,152.4,2
56,39,170.18,8
61,42,160.02,8
49,32,157.48,6
57,36,162.56,8
61,37,162.56,14
65,37,152.4,18
60,22,172.72,8
59,36,154.94,14
81,29,165.1,18
68,35,162.56,14
61,28,167.64,8
81,28,180.34,18
61,31,162.56,18
63,64,162.56,14
56,36,165.1,8
54,37,165.1,6
54,36,160.02,6
68,24,165.1,12
46,48,152.4,6
54,47,175.26,6
49,29,162.56,6
59,35,175.26,8
50,37,154.94,8
63,26,157.48,14
65,39,162.56,14
54,50,165.1,8
54,31,152.4,2
61,38,157.48,8
54,58,162.56,8
63,33,157.48,12
72,43,165.1,18
62,26,167.64,6
77,30,167.64,18
68,27,165.1,14
56,46,149.86,12
74,40,167.64,18
53,57,152.4,6
61,31,160.02,8
51,27,160.02,2
56,53,170.18,6
56,27,170.18,8
